segment_id,segment_text,proc
1,This is a story about three of my friends,93.88%
2,that I met in 1949,56.12%
3,when I started college.,47.96%
4,"Actually I met them before that,",36.73%
5,we became friends after we all...,0.00%
6,went to school at the same place.,23.47%
7,"Previous to that during high school we'd all been high school athletes at different schools,",44.90%
8,and so we were acquainted.,21.43%
9,"But then after graduation when we all enrolled in school,",12.24%
10,"we found that the four of us were all now attending the same school,",21.43%
11,and we became quite good friends.,20.41%
12,"I was the kid from the farm,",80.61%
13,the other three guys all lived in the city.,71.43%
14,"So being big macho men that we all were,",13.27%
15,"they used to like to come out to the farm and hunt,",74.49%
16,"and they'd come out,",12.24%
17,and help me do chores and things like that.,25.51%
18,Then we'd go rabbit hunting and squirrel hunting and things of that nature.,45.92%
19,I never really enjoyed hunting.,62.24%
20,"Uh ... being born and raised on the farm I was used to the outdoors,",22.45%
21,wasn't all that exciting to me.,6.12%
22,"But these guys got a big kick out of it,",17.35%
23,so I'd go along just to be one of the group.,32.65%
24,"Things went on,",0.00%
25,"we did this for several years,",13.27%
26,"they were always coming out to the farm,",5.10%
27,and hunting.,2.04%
28,"After we'd been acquainted for several years,",2.04%
29,one of them got the idea they'd like to go bear hunting up in Canada.,63.27%
30,"Now that didn't really appeal to me,",41.84%
31,"but I'd always been one of the group,",13.27%
32,"and I couldn't find any real reason not to go,",9.18%
33,"so I left them talk me into it,",30.61%
34,wasn't too hepped up on this at all.,2.04%
35,"I don't care anything really much about hunting period,",0.00%
36,let alone bear hunting.,0.00%
37,Be about my luck the bear would wind up hunting me.,1.02%
38,"But as I said,",0.00%
39,I left them talk me into it.,4.08%
40,"So we took an airplane out of Fort Wayne,",29.59%
41,"and we flew way up into Canada some place,",36.73%
42,"and we landed on a lake,",14.29%
43,"and then we rented canoes,",31.63%
44,"and paddled for another ... day and a half it seemed to me,",12.24%
45,'till we got way up in the north woods.,12.24%
46,"Then after we ... went as far as we could in the canoes,",0.00%
47,"then we had to backpack for another ... five hundred miles I thought,",27.55%
48,'till we got to this cabin that they had rented way up there in the north woods.,53.06%
49,"And after I got there,",0.00%
50,"I was even more apprehensive than I had been even before we started,",4.08%
51,'cause I didn't really need any part of that.,0.00%
52,"That was pretty spooky looking territory, let me tell you.",26.53%
53,"So we got up there,",0.00%
54,"and got set up in the cabin,",5.10%
55,and ... got our groceries stored and everything.,11.22%
56,And after we got to discussing it,3.06%
57,those guys weren't any more hot about going out in those woods and looking for a bear than I was.,1.02%
58,"We sat around there for three or four days,",46.94%
59,"played cards,",48.98%
60,"and ate,",30.61%
61,"and slept,",27.55%
62,and we just couldn't ...,1.02%
63,no one was in the mood to go out and hunt bear,12.24%
64,'cause that's just a plain old spooky looking place.,16.33%
65,"We never ventured outside at night,",8.16%
66,we stayed right there in the old cabin.,2.04%
67,"Well after we'd been there for three or four days,",7.14%
68,"we got to talking it over,",1.02%
69,"and somebody said ¡°Hey,",0.00%
70,if we don't go out and hunt some bear ...,12.24%
71,"we've got to find a bear to take back home with us,",35.71%
72,"or we're really going to get a bad time from the rest of the people,",27.55%
73,"'cause too many people know we'd gone bear hunting,",11.22%
74,and if we come home skunked with no bear they're really going to give us a bad time.¡±,22.45%
75,"Soo ... no one wanted to go out,",3.06%
76,so we all decided that we'd cut the cards.,38.78%
77,"Whoever got the high card ... would go out and get a bear,",61.22%
78,"and the rest of them would skin him butcher him and pack him back down,",30.61%
79,so we could take him home with us.,5.10%
80,"So you know who YOU KNOW WHO got the high card,",60.20%
81,the guy that didn't even want to be there in the first place.,40.82%
82,But I had agreed to play the game ...,3.06%
83,"So ... I took the old gun,",19.39%
84,and I go out bear hunting.,34.69%
85,I didn't like this at all.,4.08%
86,"I'm walking out there in the woods for hours it seems like,",9.18%
87,"and I just wasn't seeing any bears or anything,",2.04%
88,"and finally I heard a noise,",14.29%
89,"and I turned around,",7.14%
90,"and there was the biggest old bear I'd ever seen in my life,",66.33%
91,I'd never even seen a PICTURE of one THAT big.,18.37%
92,"I whipped up the gun,",13.27%
93,"and pulled the trigger,",19.39%
94,and nothing happened.,31.63%
95,I'd forgot to LOAD that turkey.,53.06%
96,Well he had ...,1.02%
97,"he just had no desires to have me in his territory,",7.14%
98,and he made for me.,18.37%
99,"Well there was nothing for me to do but run,",19.39%
100,"and I turned around,",3.06%
101,"I ran as hard as I could go,",20.41%
102,"and I thought I used to be pretty fast,",2.04%
103,"but that old bear,",4.08%
104,"man he was gaining,",7.14%
105,he was just right on my heels ...,3.06%
106,And when I got within sight of that cabin,14.29%
107,"I started yelling ¡°OPEN THE DOOR, OPEN THE DOOR!¡±",53.06%
108,"Man I was whipping down there just as hard as I could go,",2.04%
109,"and that old bear right on my tail,",8.16%
110,"and they opened the door,",22.45%
111,"and I got right to the cabin door,",4.08%
112,"I made a quick turn to the left,",19.39%
113,and that old bear went right on in.,42.86%
114,"I just reached back,",1.02%
115,"and pulled the door shut,",20.41%
116,"and said ¡°THERE HE IS FELLOWS,",33.67%
117,"YOU SKIN HIM,",26.53%
118,I'LL GO GET ANOTHER ONE!¡±,21.43%
119,"Now all this happened thirty years ago,",30.61%
120,and all my buddies agreed ... that I lived up to my commitment.,15.31%
121,"But can you BELIEVE,",10.20%
122,they haven't asked me to go hunting one time since that day.,62.24%
