recall_id,clause_id,clause_text
0,1,"My daughter died,"
0,2,twenty-eight years ago.
0,3,"I remember when she was at the hospital,"
0,4,they were moving everyone out of their beds.
0,5,They tried to move her.
0,6,I told them not to move her from her bed
0,7,because she was under ether.
0,8,I told them that Marie was under ether
0,9,and not to move her.
0,10,"They tried to move her anyway,"
0,11,"and when they did,"
0,12,she collapsed.
0,13,She probably got a blood clot from it
0,14,because they were talking about what could've caused it.
0,15,"I still remember that day,"
0,16,I was at home
0,17,and they called me to say that Marie was being discharged from the hospital.
0,18,I had all the clothes laid out on the table.
0,19,My husband was at work.
0,20,I went there
0,21,and I was praying for this woman who had a gall bladder operation.
0,22,I was praying to God
0,23,to not take away this mother from her daughters.
0,24,I saw a nurse running
0,25,and she came and asked me something.
0,26,"I asked her if she was running for my daughter,"
0,27,"and she said yes, come in."
0,28,I went in
0,29,and saw my daughter sweating.
0,30,The beads of sweat were huge.
0,31,"I started screaming ""You killed her, You killed my daughter!"""
0,32,A lady doctor Ms. Montique who was an assistant to the doctor
0,33,who performed the surgery came to speak to me.
0,34,"I screamed very loudly,"
0,35,they wanted to inject me with something.
0,36,"I told them ""You killed my daughter and now you want to kill me."""
0,37,The receptionist kept calling my home
0,38,to tell us to come and pick up Marie since she was discharged.
0,39,My daughter told them that I had already left for the hospital.
0,40,They all came quickly because they were worried about me.
0,41,They took me back home.
0,42,"I started screaming when we reached home,"
0,43,I was still in the car.
0,44,People were coming out of their homes
0,45,to check what was going on.
0,46,"I kept screaming ""They killed her!""."
0,47,"My husband was sitting on the porch,"
0,48,and he asked me what was going on.
0,49,"I told him ""Marie is dead, they killed her."""
0,50,"I showed them pictures of my daughter,"
0,51,she was only eighteen.
0,52,"When her sister and my husband found out,"
0,53,they collapsed.
0,54,I told my youngest son
0,55,to go and tell my sisters Auntie Jenny and Auntie Millie what had happened.
0,56,"When he went to tell them what had happened,"
0,57,they thought he was coming to tell them that Marie had come back home
0,58,"but when they found out,"
0,59,they were shocked.
0,60,"My sister brought an orange earlier,"
0,61,"a big orange,"
0,62,nothing like I had ever seen before.
0,63,"The local store owner praised Marie a lot,"
0,64,she said that Marie would always come to the store
0,65,"and stand there,"
0,66,pointing at the steps.
0,67,"""She would always stand there and look over"","
0,68,"She was a quiet girl,"
0,69,not much to talk.
0,70,"She was a good girl,"
0,71,Marie.
0,72,- So that's what happened.
1,1,The story was about a mother's reaction
1,2,to the unexpected death
1,3,of her daughter Marie.
1,4,She passed suddenly
1,5,from a blood clot
1,6,in her leg.
1,7,The mother had a breakdown
1,8,"in the hospital,"
1,9,when she got home
1,10,she told her husband and son
1,11,about the sudden passing
1,12,and they both suffered heart attacks.
