recall_id,clause_id,clause_text
0,1,Someone and their partner were driving on Twenty Four
0,2,"to a softball game at the church,"
0,3,when they noticed a guy was tailing their car.
0,4,"They tried to lose him,"
0,5,but he continued tailing them.
0,6,"However, the other guy crashed his car,"
0,7,and he didn't move.
0,8,"Not wanting to leave the man to die,"
0,9,"though, they called the police,"
0,10,who turned up soon enough.
0,11,The other man drove off
0,12,and was never caught.
1,1,A man was in the car
1,2,"with a woman named Lisa,"
1,3,going to watch a softball game
1,4,driving down the Twenty-Four.
1,5,A man in his mid fifties was pulling in
1,6,from somewhere
1,7,blocking the road
1,8,with his car on the Twenty-Four
1,9,when the driver in the car with Lisa drove in
1,10,and overtook him.
1,11,The man in his mid fifties began following their car
1,12,"bumper to bumper,"
1,13,swaying between the two lanes on the road.
1,14,"The driver and Lisa thought the man was either drunk,"
1,15,"which led him to think about how drunk driving is a major killer of young people on the roads,"
1,16,or the man was either sick
1,17,having a heart attack or something similar.
1,18,The driver didn't want to somehow read the papers the next day
1,19,and find out the mid fifties man had actually suffered a heart attack
1,20,"and died as a result,"
1,21,thinking he was actually just drunk driving.
1,22,Soon they see a Sheriff nearby while driving
1,23,and so he waves to the sheriff to get his attention
1,24,and pull over
1,25,and tells him about the mid fifties man following them
1,26,and that he's either sick or drunk
1,27,and to go check on him.
1,28,As soon as the deputy approaches the mid fifties man's car
1,29,he begins to put his car in reverse
1,30,and go backwards as quickly as possible.
1,31,The driver and Lisa appear humoured
1,32,and not knowing whether the police had ever caught or reached the man in his fifties.
2,1,About a week ago I was headed to a softball game at Homestead Diamond put on by my church.
2,2,I was driving down Twenty-Four
2,3,"and was waiting to turn,"
2,4,but a car started going for the spot at the same time.
2,5,I quickly drove past him
2,6,and he just stayed stopped blocking the highway.
2,7,Then the driver started following us.
2,8,I was with my friend Lisa
2,9,"and she said the vehicle was right on my tail, like almost bumper to bumper."
2,10,And he was driving all over the place
2,11,and not staying in his lane.
2,12,"I thought for sure he was drunk,"
2,13,and that I should turn around and confront him.
2,14,"But then I thought that he could also have a medical problem, like maybe he was having a heart attack,"
2,15,and I didn't want to read the news the next day
2,16,and see that someone died while having a heart attack
2,17,and I could have done something to help them.
2,18,Part of me also didn't want to do anything
2,19,"but by then, I had already made up my mind to confront him."
2,20,"Then I saw a sheriff on the other side of the road,"
2,21,so I stopped and motioned for him to come over.
2,22,I told the sheriff that the man behind me was driving erratically
2,23,"and couldn't stay on one side of the road,"
2,24,"and that he was either drunk or having a heart attack,"
2,25,but was having some kind of problem.
2,26,When I stopped to talk to the sheriff
2,27,the driver of the vehicle stopped a ways down the road.
2,28,"Then when the sheriff drove after him, he started driving the road in reverse."
2,29,Then the driver turned the car around
2,30,"and started driving the right way,"
2,31,with the sheriff following.
2,32,He was driving really slow
2,33,and it was such a funny thing to witness.
2,34,I'm not sure if the sheriff ever stopped the driver of the vehicle.
4,1,About a month ago a man was going to play softball near a church
4,2,and was travelling with his wife in their car
4,3,when they turned on highway 24
4,4,a man in a car behind them was also trying to turn at the same time
4,5,and was following them
4,6,and weaving about in the road behind them.
4,7,He thought the man was drunk or ill
4,8,and was going to go back to the car behind him
4,9,when they stopped at the next junction.
4,10,He saw a police car
4,11,and waved the officers over
4,12,and told them about the man
4,13,and they went down the road to investigate.
4,14,The driver turned his car around
4,15,and the police followed him.
4,16,The man did not know if the man was caught by the police or not.
5,1,"On their way to a softball event at the diamonds,"
5,2,the main character was driving on 24 lane or road.
5,3,He has a girl named Lisa in the car.
5,4,Another man stops at the intersection
5,5,and blocks off traffic.
5,6,The main character goes past
5,7,and the man follows.
5,8,The driver behind them is driving weirdly
5,9,so the main character assumes he is drunk.
5,10,Then he assumes he is maybe sick
5,11,and should check him out in case the newspaper says a man had a heart attack
5,12,and the main character could've helped.
5,13,"The MC stops the car,"
5,14,"spots a sheriff’s car,"
5,15,and calls them over.
